Rank,Name,POP2010,AREAkm,AREAmi
271,"Lynchburg, VA",116636,230.00,88.80
272,"Monroe, LA",116533,212.20,81.90
273,"Billings, MT",114773,137.20,53.00
274,"Boulder, CO",114591,84.10,32.50
275,"Bellingham, WA",114473,124.60,48.10
276,"Seaside--Monterey, CA",114237,100.20,38.70
277,"Kailua (Honolulu County)--Kaneohe, HI",113682,101.10,39.00
278,"Waterloo, IA",113418,161.20,62.20
279,"Lady Lake--The Villages, FL",112991,184.10,71.10
280,"Dover, DE",110769,191.70,74.00
281,"St. Cloud, MN",110621,130.10,50.30
282,"Abilene, TX",110421,141.80,54.70
283,"Waldorf, MD",109919,176.10,68.00
284,"Mayagüez, PR",109572,139.20,53.70
285,"Burlington, VT",108740,159.90,61.80
286,"Bloomington, IN",108657,116.00,44.80
287,"Pottstown, PA",107682,204.20,78.80
288,"Rochester, MN",107677,131.00,50.60
289,"El Centro--Calexico, CA",107672,77.70,30.00
290,"Iowa City, IA",106621,118.00,45.60
291,"Kingsport, TN—VA",106571,294.10,113.60
292,"Sioux City, IA—NE—SD",106494,140.80,54.40
293,"Texas City, TX",106383,196.90,76.00
294,"Jacksonville, NC",105419,184.80,71.30
295,"Rock Hill, SC",104996,247.70,95.60
296,"Norman, OK",103898,116.20,44.90
297,"Eau Claire, WI",102852,178.70,69.00
298,"La Crosse, WI—MN",100868,132.10,51.00
299,"Holland, MI",99941,153.40,59.20
300,"Turlock, CA",99904,66.80,25.80
301,"Wichita Falls, TX",99437,130.40,50.40
302,"Longview, TX",98884,215.10,83.00
303,"Gilroy--Morgan Hill, CA",98413,117.70,45.40
304,"Coeur d'Alene, ID",98378,122.30,47.20
305,"St. George, UT",98370,116.30,44.90
306,"Chico, CA",98176,89.10,34.40
307,"Salisbury, MD—DE",98081,183.10,70.70
308,"Middletown, OH",97503,145.30,56.10
309,"Albany, GA",95779,183.50,70.80
310,"Vineland, NJ",95259,160.30,61.90
311,"Logan, UT",94983,113.80,43.90
312,"Lawton, OK",94457,114.20,44.10
313,"Decatur, IL",93863,153.30,59.20
314,"Vacaville, CA",93141,71.00,27.40
315,"San Angelo, TX",92984,120.90,46.70
316,"Terre Haute, IN",92742,138.40,53.50
317,"Charlottesville, VA",92359,89.50,34.60
318,"Slidell, LA",91151,151.80,58.60
319,"Yauco, PR",90899,120.60,46.60
320,"Longmont, CO",90897,67.90,26.20
321,"Idaho Falls, ID",90733,115.30,44.50
322,"Muncie, IN",90580,120.90,46.70
323,"Temple, TX",90390,140.10,54.10
324,"Jackson, MI",90057,149.40,57.70
325,"Florence, SC",89557,184.00,71.10
326,"Santa Fe, NM",89284,137.50,53.10
327,"Mandeville--Covington, LA",88925,169.90,65.60
328,"Blacksburg, VA",88542,132.60,51.20
329,"Portsmouth, NH—ME",88200,240.00,92.70
330,"Anderson, IN",88133,171.10,66.10
331,"Dover--Rochester, NH—ME",88087,172.00,66.40
332,"Lawrence, KS",88053,78.80,30.40
333,"Hanford, CA",87941,71.90,27.70
334,"Tracy, CA",87569,57.60,22.30
335,"State College, PA",87454,74.70,28.80
336,"Port Huron, MI",87106,156.60,60.40
337,"Springfield, OH",85256,126.80,49.00
338,"Dalton, GA",85239,209.30,80.80
339,"Fajardo, PR",85225,131.60,50.80
340,"Lee's Summit, MO",85081,107.00,41.30
341,"Prescott Valley--Prescott, AZ",84744,132.00,51.00
342,"Napa, CA",83913,66.90,25.80
343,"Alton, IL—MO",83890,141.90,54.80
344,"Bend, OR",83794,102.90,39.70
345,"Manteca, CA",83578,56.50,21.80
346,"Alexandria, LA",82804,169.80,65.50
347,"Joplin, MO",82775,166.80,64.40
348,"Missoula, MT",82157,117.10,45.20
349,"Bismarck, ND",81955,100.40,38.80
350,"Kankakee, IL",81926,96.20,37.20
351,"Livermore, CA",81624,63.40,24.50
352,"Rapid City, SD",81251,109.40,42.30
353,"Wheeling, WV—OH",81249,121.80,47.00
354,"St. Joseph, MO—KS",81176,108.40,41.90
355,"Homosassa Springs--Beverly Hills--Citrus Springs, FL",80962,234.30,90.50
356,"Juana Díaz, PR",80928,123.80,47.80
357,"Hattiesburg, MS",80358,178.70,69.00
358,"Guayama, PR",80155,105.50,40.70
359,"Altoona, PA",79930,96.80,37.40
360,"Anniston--Oxford, AL",79796,224.70,86.80
361,"Lafayette--Louisville--Erie, CO",79407,102.40,39.50
362,"Madera, CA",78413,58.00,22.40
363,"Battle Creek, MI",78393,137.30,53.00
364,"Bowling Green, KY",78306,117.60,45.40
365,"Texarkana--Texarkana, TX—AR",78162,166.80,64.40
366,"Lebanon, PA",77086,116.70,45.10
367,"Valdosta, GA",77085,144.30,55.70
368,"Florence, AL",77074,160.90,62.10
369,"Newark, OH",76068,109.10,42.10
370,"Anderson, SC",75702,191.90,74.10
371,"Williamsburg, VA",75689,144.80,55.90
372,"Mansfield, OH",75250,130.30,50.30
373,"Lake Jackson--Angleton, TX",74830,108.00,41.70
374,"Auburn, AL",74741,129.30,49.90
375,"Wausau, WI",74632,121.40,46.90
376,"Oshkosh, WI",74495,79.80,30.80
377,"Cheyenne, WY",73588,91.00,35.10
378,"Watsonville, CA",73534,59.20,22.80
379,"Elizabethtown--Radcliff, KY",73467,147.50,57.00
380,"Sumter, SC",73107,170.10,65.70
381,"Lima, OH",72852,135.60,52.40
382,"Davis, CA",72794,36.60,14.10
383,"Westminster--Eldersburg, MD",72714,149.40,57.70
384,"Flagstaff, AZ",71957,90.20,34.80
385,"Jackson, TN",71880,132.50,51.10
386,"Camarillo, CA",71772,57.00,22.00
387,"Florida--Imbery--Barceloneta, PR",71747,118.60,45.80
388,"Sheboygan, WI",71313,86.60,33.40
389,"Weirton--Steubenville, WV—OH—PA",70889,130.80,50.50
390,"Bay City, MI",70585,104.40,40.30
391,"Owensboro, KY",70543,87.60,33.80
392,"Decatur, AL",70436,151.00,58.30
393,"Morgantown, WV",70350,97.10,37.50
394,"Porterville, CA",70272,53.10,20.50
395,"Pocatello, ID",69809,80.30,31.00
396,"Janesville, WI",69658,79.70,30.80
397,"Bristol--Bristol, TN—VA",69501,165.50,63.90
398,"Winchester, VA",69449,96.30,37.20
399,"St. Augustine, FL",69173,111.50,43.10
400,"Johnstown, PA",69014,100.00,38.60
401,"Hilton Head Island, SC",68998,175.10,67.60
402,"Dothan, AL",68781,143.70,55.50
403,"Lodi, CA",68738,41.20,15.90
404,"DeKalb, IL",68545,66.80,25.80
405,"West Bend, WI",68444,99.70,38.50
406,"Rocky Mount, NC",68243,119.00,46.00
407,"Elmira, NY",67983,97.90,37.80
408,"Carbondale, IL",67821,126.10,48.70
409,"Dubuque, IA—IL",67818,87.50,33.80
410,"Hammond, LA",67629,198.50,76.60
411,"Parkersburg, WV—OH",67229,109.80,42.40
412,"Wenatchee, WA",67227,81.30,31.40
413,"Harrisonburg, VA",66784,84.30,32.60
414,"Cleveland, TN",66777,141.40,54.60
