FID,X,Y,N1,D1,N2,D2,N3,D3
F121,12060585.54730,3513155.02066,F120,252.41132177376363,F119,349.63708209407855,F122,424.65086359694885
F122,12061007.56580,3513107.81111,F123,181.8217799807248,F121,424.65086359694885,F119,656.9878966604753
F123,12061166.19280,3513018.94810,F122,181.8217799807248,F121,596.3765071293452,F119,838.0892377080261
F124,12042740.90050,3515065.45975,F125,660.9832587368005,F314,1023.4713087267571,F313,1191.096280054408
F125,12042310.86010,3515567.42003,F124,660.9832587368005,F126,741.8654283370581,F127,1248.0461813640372
F126,12041571.86970,3515502.17049,F127,614.11302733498,F125,741.8654283370581,F305,1081.3968381692096
F127,12041109.81360,3515906.69363,F126,614.11302733498,F128,647.242181663448,F305,1000.5024773878663
F128,12041097.55110,3516553.81964,F129,443.6189326895286,F127,647.242181663448,F130,705.2485231846246
F129,12041267.41070,3516963.63115,F128,443.6189326895286,F130,678.8063742723413,F127,1068.6223688056314
F130,12040593.79030,3517047.37869,F129,678.8063742723413,F128,705.2485231846246,F132,1171.6346513393792
F131,12039608.93760,3518007.78687,F384,405.5339539856777,F132,737.1997730434273,F369,864.6953776420761
F132,12039447.24340,3517288.53831,F131,737.1997730434273,F137,822.6061443916344,F384,883.2917974523183
F133,12039528.61760,3516131.86116,F136,526.6171253037542,F134,530.4600964859217,F137,716.8522701629819
F134,12039632.81260,3515611.73491,F133,530.4600964859217,F303,578.4904442005447,F135,686.2720430153818
F135,12038947.29690,3515579.52401,F136,571.7977378094163,F134,686.2720430153818,F303,765.0473934116721
F136,12039002.26890,3516148.67314,F137,456.28130805350037,F133,526.6171253037542,F135,571.7977378094163
F137,12038989.89820,3516604.78672,F136,456.28130805350037,F140,594.9415163812984,F133,716.8522701629819
F138,12038255.22740,3516061.39969,F139,437.67664329566674,F136,752.1221029843575,F135,843.3056170851431
F139,12038222.09000,3516497.82008,F138,437.67664329566674,F140,464.84884325115684,F141,726.1626890713712
F140,12038468.77390,3516891.81437,F139,464.84884325115684,F137,594.9415163812984,F374,687.6143782172902
F141,12037539.59300,3516745.83237,F142,389.8726910838473,F149,718.63891004918,F139,726.1626890713712
F142,12037328.94090,3517073.89701,F141,389.8726910838473,F149,425.8139064147567,F143,442.69593235943586
F143,12037083.91580,3517442.60067,F149,405.511400900584,F142,442.69593235943586,F144,562.5252424967923
F144,12036832.90780,3517946.01862,F145,549.7831801164002,F143,562.5252424967923,F146,667.1489797747471
F145,12036644.85300,3518462.63931,F550,532.3361889320051,F144,549.7831801164002,F377,650.6854531979668
F146,12036167.00880,3517986.83875,F147,644.6251584294763,F144,667.1489797747471,F145,674.3302250159082
F147,12036393.47130,3517383.30223,F148,505.667337571792,F149,593.3146486958157,F146,644.6251584294763
F148,12036492.99870,3516887.52632,F150,241.0055412015589,F149,452.9119820322681,F147,505.667337571792
F149,12036903.16520,3517079.60106,F143,405.511400900584,F142,425.8139064147567,F148,452.9119820322681
F150,12036606.49450,3516674.91782,F148,241.0055412015589,F151,482.9986284074912,F149,501.7788646161718
F151,12036750.24450,3516213.80654,F438,328.0743279983452,F150,482.9986284074912,F432,566.3515233218201
F152,12057322.51610,3514826.12722,F86,303.71394475076477,F153,333.1510123441563,F217,661.2505958457467
F153,12057002.88710,3514732.17564,F152,333.1510123441563,F217,353.68385040749706,F86,404.88614882921473
F154,12056303.50070,3514673.55535,F217,388.02522613909315,F216,501.8097480112632,F153,701.8387812764477
F155,11996384.43090,3464257.92291,F332,897.689224578687,F331,1051.7485826901047,F330,1166.5378705463183
F156,11996562.61200,3462790.72277,F333,786.1351982425193,F332,1256.262385128297,F334,1348.4719814387427
F157,11996665.50090,3461153.32086,F158,479.5094163625529,F336,1133.6552466769,F334,1278.113666999762
F158,11996696.75870,3460674.83133,F157,479.5094163625529,F336,718.296865085386,F159,983.8999013141264
F159,11996790.53310,3459695.41039,F336,592.7646151227526,F158,983.8999013141264,F268,984.0278358546196
F160,11997277.83920,3458449.89483,F338,251.43887500532475,F268,480.8195008189932,F462,502.5316128206128
F161,11997760.33630,3458156.54929,F160,564.6725222175543,F338,661.8602170662708,F14,695.7990591473016
F162,11999009.46800,3457796.18682,F465,542.016029905027,F463,591.1452844056164,F466,600.1682628752652
F163,12000256.59570,3457494.45416,F344,610.537786965799,F465,741.0996481251613,F466,876.2098512579438
F164,12001319.94730,3457893.54621,F165,430.950655480048,F168,691.2822053829822,F173,731.532618886267
F165,12001726.19910,3457749.74794,F164,430.950655480048,F168,491.4610202718017,F169,589.3434691134886
F166,12002759.14620,3457511.59979,F167,329.1109413169926,F169,569.223796799722,F175,630.3376384999103
F167,12002665.92330,3457195.96788,F175,302.60136274845934,F166,329.1109413169926,F174,474.2182918984858
F168,12001618.74820,3457270.17705,F173,157.01392395189652,F165,491.4610202718017,F169,596.5302329537327
F169,12002200.87860,3457400.45566,F174,405.12931874120886,F167,508.01754415360216,F166,569.223796799722
F170,12004860.68400,3457365.61157,F172,888.3736638882169,F177,1010.0580664007797,F178,1263.7712284695124
F171,12004988.82120,3458673.42916,F474,724.8727263109569,F472,981.0146446886255,F475,1202.69016630258
F172,12004705.30310,3456490.93189,F177,273.72372815078313,F179,647.8909941378727,F178,698.0406406207875
F173,12001488.96370,3457181.80649,F168,157.01392395189652,F165,615.4982742801586,F164,731.532618886267
F174,12002235.55110,3456996.81277,F175,316.7459767882117,F169,405.12931874120886,F167,474.2182918984858
F175,12002542.73590,3456919.57604,F167,302.60136274845934,F174,316.7459767882117,F169,590.0098494894916
F176,12003784.77600,3456607.92312,F177,668.8780534442462,F172,927.9316191017665,F167,1263.9731025864864
F177,12004434.69040,3456449.78039,F172,273.72372815078313,F176,668.8780534442462,F179,769.8733549401085
F178,12005337.65190,3456195.30420,F179,465.5307999399076,F172,698.0406406207875,F177,938.1351724349013
F179,12004975.92330,3455902.26607,F178,465.5307999399076,F172,647.8909941378727,F477,758.3733056052939
F180,12006233.22290,3455630.61143,F187,338.45742694876145,F181,495.67711805596855,F178,1058.7376164701318
F181,12006118.32880,3455148.43392,F180,495.67711805596855,F187,831.4409002927639,F477,1120.817095661697
F182,12007853.19470,3455578.96619,F183,865.3502608462292,F195,1161.9888369085922,F180,1620.7948246506191
F183,12008666.35030,3455282.97794,F182,865.3502608462292,F195,866.2654489689417,F194,1768.2424828225378
F184,12007969.94780,3451455.19655,F185,365.3785120777209,F186,377.50868471685834,F191,578.1918048481068
F185,12008219.52180,3451722.05658,F184,365.3785120777209,F193,618.7169614140956,F186,650.6535158222549
F186,12008065.33180,3451089.93678,F184,377.50868471685834,F191,386.48445441655645,F192,590.66462360685
F187,12006256.96500,3455968.23510,F180,338.45742694876145,F181,831.4409002927639,F178,946.9408387035221
F188,12056467.72250,3513493.34807,F82,265.3612494810268,F189,465.7393827479603,F215,657.9566534637725
F189,12056036.02880,3513668.14430,F190,438.88018150144507,F188,465.7393827479603,F216,674.3900007105408
F190,12055802.45740,3514039.70885,F189,438.88018150144507,F216,672.1559694075097,F154,807.9639682795723
F191,12007709.55720,3450938.95775,F192,224.3953164504383,F186,386.48445441655645,F184,578.1918048481068
F192,12007487.18140,3450968.99542,F191,224.3953164504383,F186,590.66462360685,F184,685.1678157811116
F193,12008191.08380,3452340.11965,F185,618.7169614140956,F184,912.1348712823105,F186,1256.4914539877398
F194,12008024.75570,3453635.24075,F195,907.0394686927514,F193,1305.7579027197014,F183,1768.2424828225378
F195,12008290.60130,3454502.44702,F183,866.2654489689417,F194,907.0394686927514,F182,1161.9888369085922
F196,12059333.54060,3512959.09126,F114,533.26566301625,F197,543.8885582484365,F202,557.3720927164939
F197,12059440.04790,3512425.73307,F202,353.3215232976047,F196,543.8885582484365,F114,551.458366677664
F198,12057891.73340,3511630.99319,F199,266.2108193648007,F21,341.7501158095133,F201,492.57630560944204
F199,12058136.26970,3511525.77818,F198,266.2108193648007,F21,603.2514541862516,F201,607.8294701107386
F200,12057067.82100,3511173.80152,F225,377.02616455261744,F226,584.9411277274663,F229,589.3306736437062
F201,12057985.39010,3512114.58376,F198,492.57630560944204,F219,517.8057399420746,F199,607.8294701107386
F202,12059088.25760,3512458.59161,F114,229.62692052849465,F197,353.3215232976047,F113,425.2018701688229
F203,12059320.95500,3513549.90176,F212,332.1562963221007,F208,394.3082686677563,F211,517.1165373540363
F204,12058722.53460,3512887.99363,F205,263.2151459864535,F114,336.1831360459206,F206,380.653159380573
F205,12058532.73350,3513070.36072,F204,263.2151459864535,F206,287.4356779958369,F207,290.8613972553823
