FID,X,Y
F742,12027349.24330,3523454.94100
F743,12027663.37820,3523688.55733
F744,12027735.44960,3523324.81233
F745,12026003.31030,3523292.14441
F746,12025851.00260,3524089.74977
F747,12027876.45060,3526183.30136
F748,12027406.97880,3525973.65316
F749,12027717.27340,3525602.60994
F750,12029117.30340,3526724.39969
F751,12029001.26560,3523121.98137
F752,11982184.25000,3513294.22642
F753,12041999.28330,3507587.69190
F754,12012253.44380,3461329.01637
F755,11985081.47120,3448004.74315
F756,11979048.60670,3431243.49157
F757,12061851.70580,3508636.88206
F758,12023926.25180,3481164.81233
F759,12042554.41240,3506710.72515
F760,12057023.65480,3507597.52095
F761,12051576.68570,3508681.65657
F762,12052304.43230,3508648.68846
F763,12052989.83510,3508455.06319
F764,12053680.40820,3508218.08565
F765,12055779.98730,3507771.50452
F766,12062611.00060,3501866.78372
F767,12062171.81020,3502500.47865
F768,12032281.31420,3535329.75321
F769,12043215.28020,3506693.80491
F770,12042796.85420,3506905.27692
F771,12043112.88180,3506846.87973
F772,12042506.16280,3506923.30543
F773,12042533.71690,3523843.51306
F774,12042454.40470,3524380.61501
F775,12041805.46800,3525430.20608
F776,12041356.05090,3525303.26113
F777,12041579.03510,3525024.83386
F778,12042802.80760,3524164.43269
F779,12043285.77480,3524703.61534
F780,12042518.38690,3526523.40600
F781,12042353.95770,3526121.86480
F782,12042257.78110,3525431.20772
F783,12042584.80960,3525393.18089
F784,12042888.07310,3525177.84307
F785,12042736.42580,3525976.40545
F786,12042017.66410,3526594.46097
F787,12042972.83810,3526795.81982
F788,12041599.25060,3526222.60607
F789,12042231.63350,3524949.17916
F790,12064651.46200,3506954.67742
F791,12065212.13910,3506977.83518
F792,12061072.85830,3505447.31724
F793,12060893.29570,3505051.71567
F794,12061033.03420,3506192.19436
F795,12056385.86800,3510628.21797
F796,12056137.17560,3510856.42519
